name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Olise,CRY,MID,5.5,Available,0,0,0,0.0,0.3
Ward,CRY,DEF,4.5,Available,2255,66,6,2.5,0.1
Guéhi,CRY,DEF,4.5,Available,0,0,0,0.0,0.3
Delph,EVE,MID,4.5,Available,260,8,0,1.0,0.1
Sigurdsson,EVE,MID,7.0,Available,2244,122,13,3.4,3.5
Coleman,EVE,DEF,5.0,Available,1607,81,4,3.2,0.6
James,EVE,MID,7.0,Available,1763,101,11,4.4,4.3
Bernard,EVE,MID,5.5,NotAvail,447,21,1,1.8,0.1
Digne,EVE,DEF,5.5,Available,2681,120,18,4.0,21.9
Keane,EVE,DEF,5.0,Available,2989,127,13,3.6,2.9
Pickford,EVE,GKP,5.0,Available,2742,114,8,3.7,7.9
Allan,EVE,MID,4.5,Available,2050,47,0,2.0,1.2
André Gomes,EVE,MID,5.0,Available,1559,48,0,1.7,0.1
Doucouré,EVE,MID,5.5,Available,2443,80,2,2.8,0.3
Iwobi,EVE,MID,6.0,Available,1530,65,1,2.2,0.2
Mina,EVE,DEF,5.0,Available,1936,79,7,3.3,0.5
Davies,EVE,MID,5.0,Available,1417,47,1,1.9,0.1
Calvert-Lewin,EVE,FWD,8.0,Available,2871,165,21,5.0,27.5
Holgate,EVE,DEF,4.5,Available,2286,80,4,2.9,1.1
Godfrey,EVE,DEF,5.0,Available,2683,100,7,3.2,1.3
Richarlison,EVE,FWD,7.5,Available,2862,123,18,3.6,5.9
Virgínia,EVE,GKP,4.0,Available,47,2,0,2.0,2.3
Begović,EVE,GKP,4.0,Available,0,0,0,0.0,1.0
Townsend,EVE,MID,5.5,Available,2250,94,8,2.8,0.3
Gray,EVE,MID,5.5,Available,18,1,0,1.0,0.2
Schmeichel,LEI,GKP,5.0,Available,3420,128,6,3.4,12.9
Evans,LEI,DEF,5.5,Available,2473,109,12,3.9,2.0
Albrighton,LEI,MID,5.5,Available,1735,78,3,2.5,0.2
Mendy,LEI,MID,4.5,Available,1452,41,0,1.8,0.4
Ward,LEI,GKP,4.0,Available,0,0,0,0.0,3.9
Vardy,LEI,FWD,10.5,Available,2838,187,23,5.5,8.8
Praet,LEI,MID,5.0,Available,714,37,1,2.5,0.1
Pereira,LEI,DEF,5.5,Available,954,27,0,1.8,1.8
Amartey,LEI,DEF,4.0,Available,718,19,2,1.7,3.6
Castagne,LEI,DEF,5.5,Available,2345,94,7,3.5,4.0
Tielemans,LEI,MID,6.5,Available,3356,133,11,3.5,4.2
Pérez,LEI,MID,6.0,Available,1322,58,2,2.3,0.2
Maddison,LEI,MID,7.0,Available,2093,133,12,4.3,11.7
Iheanacho,LEI,FWD,7.5,Available,1452,110,18,4.4,14.2
Choudhury,LEI,MID,4.5,Available,311,14,0,1.4,0.1
Barnes,LEI,MID,7.0,Available,1944,126,13,5.0,7.3
Ndidi,LEI,MID,5.0,Available,2175,79,11,3.0,1.0
Söyüncü,LEI,DEF,5.0,Available,1816,59,3,2.6,1.7
Justin,LEI,DEF,5.0,Injured,2070,101,13,4.4,0.2
Thomas,LEI,DEF,4.5,Available,968,26,0,1.9,0.3
Fofana,LEI,DEF,4.5,Available,2260,71,5,2.5,24.7
Daka,LEI,FWD,7.5,Available,0,0,0,0.0,1.9
Soumaré,LEI,MID,5.0,Available,0,0,0,0.0,0.1
Bertrand,LEI,DEF,5.0,Available,2598,78,4,2.7,0.4
Hernández,LEE,MID,5.5,NotAvail,414,28,0,1.8,0.1
Casilla,LEE,GKP,4.5,NotAvail,270,14,2,4.7,0.2
Cooper,LEE,DEF,4.5,Available,2186,59,2,2.4,0.4
Ayling,LEE,DEF,4.5,Available,3399,100,2,2.6,9.9
Klich,LEE,MID,5.5,Available,2386,99,3,2.8,0.5
Rodrigo,LEE,FWD,6.5,Available,1279,89,16,3.4,1.9
Dallas,LEE,MID,5.5,Available,3410,171,15,4.5,17.7
Bamford,LEE,FWD,8.0,Available,3052,194,26,5.1,17.6
Llorente,LEE,DEF,4.5,Available,1203,50,3,3.3,0.5
Phillips,LEE,MID,5.0,Available,2428,67,2,2.3,2.8
Costa,LEE,MID,5.5,Available,1150,63,2,2.9,0.2
Roberts,LEE,MID,5.0,Available,1330,49,0,1.8,0.1
Koch,LEE,DEF,4.5,Available,1130,38,2,2.2,0.4
Poveda,LEE,MID,4.5,Available,344,14,0,1.0,0.1
Raphinha,LEE,MID,6.5,Available,2358,133,11,4.4,22.4
Shackleton,LEE,MID,4.5,Available,454,17,0,1.3,0.1
Struijk,LEE,DEF,4.5,Available,2072,71,2,2.6,0.6
Meslier,LEE,GKP,5.0,Available,3150,154,20,4.4,5.7
Harrison,LEE,MID,6.0,Available,2846,160,15,4.4,5.3
Firpo,LEE,DEF,5.0,Available,0,0,0,0.0,1.3
Milner,LIV,MID,5.0,Available,1056,44,2,1.7,0.1
Henderson,LIV,MID,5.0,Available,1704,56,2,2.7,0.8
Adrián,LIV,GKP,4.5,Available,270,11,2,3.7,0.3
Matip,LIV,DEF,5.0,Available,690,42,5,4.2,0.4
Thiago,LIV,MID,5.5,Available,1851,55,1,2.3,1.1
Shaqiri,LIV,MID,6.0,Available,548,26,1,1.9,0.2
Chamberlain,LIV,MID,6.0,Available,243,21,0,1.6,0.2
Firmino,LIV,FWD,9.0,Available,2837,141,15,3.9,5.1
van Dijk,LIV,DEF,6.5,Available,370,15,1,3.0,9.8
Mané,LIV,MID,12.0,Available,2808,176,14,5.0,3.2
Alisson,LIV,GKP,6.0,Available,2970,140,13,4.2,5.3
Fabinho,LIV,MID,5.5,Available,2566,71,2,2.4,0.7
Salah,LIV,MID,12.5,Available,3077,231,21,6.2,48.8
Robertson,LIV,DEF,7.0,Available,3384,161,19,4.2,13.5
Origi,LIV,FWD,5.0,Available,180,10,0,1.1,1.2
Minamino,LIV,MID,5.5,Available,999,48,2,2.5,0.1
Alexander-Arnold,LIV,DEF,7.5,Available,3029,160,26,4.4,27.6
Gomez,LIV,DEF,5.0,Available,589,10,0,1.4,0.7
Keita,LIV,MID,5.0,Available,517,15,0,1.5,0.1
Jota,LIV,MID,7.5,Available,1106,86,9,4.5,9.6
Phillips,LIV,DEF,4.5,Available,1455,68,1,4.0,0.7
Kelleher,LIV,GKP,4.5,Available,180,10,0,5.0,0.2
Konaté,LIV,DEF,5.5,Available,0,0,0,0.0,5.1
Jones,LIV,MID,5.0,Available,1169,50,0,2.1,0.1
Tsimikas,LIV,DEF,4.0,Available,6,2,0,1.0,1.3
N.Williams,LIV,DEF,4.0,Available,247,11,0,1.8,1.5
R.Williams,LIV,DEF,4.5,Available,659,28,1,3.1,0.1
Davies,LIV,DEF,4.0,Available,0,0,0,0.0,0.6
Walker,MCI,DEF,5.5,Available,1944,91,7,3.8,4.8
Gündogan,MCI,MID,7.5,Available,2025,157,22,5.6,5.5
De Bruyne,MCI,MID,12.0,Available,1995,141,19,5.6,14.5
Stones,MCI,DEF,5.5,Available,1933,128,11,5.8,11.8
Mendy,MCI,DEF,5.5,Available,951,63,8,4.8,1.2
Mahrez,MCI,MID,9.0,Available,1945,145,15,5.4,4.1
Sterling,MCI,MID,11.0,Available,2534,154,10,5.0,3.3
