name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Stephens,SOU,DEF,4.5,Available,1537,41,6,2.3,0.2
Armstrong,SOU,MID,6.0,Available,2764,115,4,3.5,0.4
Vestergaard,SOU,DEF,5.0,Available,2574,86,4,2.9,1.0
Ward-Prowse,SOU,MID,6.5,Available,3420,156,17,4.1,8.1
Walker-Peters,SOU,DEF,5.0,Available,2646,93,7,3.1,1.0
Bednarek,SOU,DEF,4.5,Available,3100,94,11,2.6,1.5
Nlundulu,SOU,FWD,4.5,NotAvail,102,13,0,1.0,0.5
Adams,SOU,FWD,7.0,Available,2662,137,16,3.8,1.5
Tella,SOU,MID,5.0,Available,735,36,2,2.0,0.1
Smallbone,SOU,MID,4.5,Injured,171,5,0,1.7,0.0
Obafemi,SOU,FWD,4.5,Available,57,4,0,1.0,4.5
Diallo,SOU,MID,4.5,Available,1010,31,0,1.4,0.1
Djenepo,SOU,MID,5.5,Available,1229,46,0,1.7,0.1
Salisu,SOU,DEF,4.5,Available,841,14,0,1.2,0.1
Perraud,SOU,DEF,5.0,Available,0,0,0,0.0,0.2
Hart,TOT,GKP,4.5,Available,0,0,0,0.0,0.3
Lloris,TOT,GKP,5.5,Available,3420,149,13,3.9,4.6
Sissoko,TOT,MID,4.5,Available,1576,44,2,1.8,1.4
Alderweireld,TOT,DEF,5.0,NotAvail,2240,88,4,3.5,0.6
Lamela,TOT,MID,6.0,NotAvail,700,28,0,1.2,0.1
Kane,TOT,FWD,12.5,Available,3083,242,40,6.9,29.3
Aurier,TOT,DEF,5.0,Available,1605,80,4,4.2,0.5
Son,TOT,MID,10.0,Available,3119,228,26,6.2,15.6
Doherty,TOT,DEF,5.0,Available,1238,47,4,2.8,1.2
Dier,TOT,DEF,4.5,Available,2520,77,2,2.8,1.1
Lucas Moura,TOT,MID,6.5,Available,1397,80,5,2.7,0.4
Dele,TOT,MID,6.5,Available,613,30,0,2.0,0.9
Davies,TOT,DEF,4.5,Available,1340,52,1,2.6,0.3
Højbjerg,TOT,MID,5.0,Available,3420,107,6,2.8,3.0
